category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,assignment_group,priority,reassignment_count,predicted_by_model
Hardware,Closed,2023-01-18 10:47:19,2023-01-09 9:58:00,Charlie Whitherspoon,INC000000510,system,Australia,Fred Luddy,Bud Richman,2023-01-18 10:47:19,Printer546 not working properly,Hardware,1 - Critical,1,FALSE
Hardware,Resolved,2023-01-19 2:40:54,2023-01-09 16:07:00,Fred Luddy,INC000000511,system,Australia,Fred Luddy,Bud Richman,2023-01-19 2:40:54,Printer354 is not working,Hardware,1 - Critical,1,FALSE
Hardware,Closed,2023-01-13 22:01:59,2023-01-10 10:06:00,Luke Wilson,INC000000512,admin,Australia,Luke Wilson,ITIL User,2023-01-13 22:01:59,Printer876 is not working,Hardware,1 - Critical,1,FALSE
Hardware,Resolved,2023-01-12 0:34:00,2023-01-11 0:34:00,Luke Wilson,INC000000513,employee,UK,Charlie Whitherspoon,Don Goodliffe,2023-01-12 0:34:00,The monitor is not working properly,Hardware,2 - High,3,FALSE
Inquiry / Help,Resolved,2023-01-23 16:07:55,2023-01-11 9:26:00,Luke Wilson,INC000000514,system,India,Howard Johnson,ITIL User,2023-01-23 16:07:55,Need help with Database query optimization,Database,3 - Moderate,1,FALSE
Hardware,Resolved,2023-01-20 14:37:18,2023-01-11 16:40:00,Howard Johnson,INC000000515,system,Australia,Luke Wilson,Bud Richman,2023-01-20 14:37:18,Printer487 is malfunctioning in Australia,Hardware,2 - High,2,FALSE
Hardware,Closed,2023-01-23 2:21:49,2023-01-11 18:29:00,Beth Anglin,INC000000516,admin,United States,Fred Luddy,Don Goodliffe,2023-01-23 2:21:49,The system monitor of station 334 is not working,Hardware,3 - Moderate,3,FALSE
Hardware,Closed,2023-01-18 8:42:16,2023-01-13 0:44:00,Fred Luddy,INC000000517,admin,Australia,Luke Wilson,David Loo,2023-01-18 8:42:16,Issue with Printer429 in Australia,Hardware,2 - High,7,FALSE
Hardware,Resolved,2023-01-22 4:15:55,2023-01-15 14:01:00,Luke Wilson,INC000000518,system,India,Luke Wilson,Don Goodliffe,2023-01-22 4:15:55,Device malfunction in CPU,Hardware,2 - High,7,TRUE
Inquiry / Help,Closed,2023-01-17 4:28:00,2023-01-16 4:28:00,Luke Wilson,INC000000519,employee,United States,Fred Luddy,David Loo,2023-01-17 4:28:00,Need help with a software inquiry,Service Desk,3 - Moderate,7,FALSE
Hardware,Closed,2023-01-26 2:18:23,2023-01-16 6:28:00,Beth Anglin,INC000000520,employee,Australia,Howard Johnson,ITIL User,2023-01-26 2:18:23,Printer546 is not responding,Hardware,2 - High,1,TRUE
Hardware,Closed,2023-01-25 7:44:06,2023-01-17 6:29:00,Fred Luddy,INC000000521,admin,United States,Charlie Whitherspoon,ITIL User,2023-01-25 7:44:06,CPU fan failure on desktop unit,Hardware,2 - High,2,TRUE
Software,Resolved,2023-01-18 12:15:00,2023-01-17 12:15:00,Beth Anglin,INC000000522,employee,Australia,Fred Luddy,Don Goodliffe,2023-01-18 12:15:00,Microsoft Office Application crash,Software,2 - High,3,TRUE
Hardware,Closed,2023-02-05 14:01:59,2023-01-17 13:34:00,Luke Wilson,INC000000523,system,Australia,Fred Luddy,Bud Richman,2023-02-05 14:01:59,Printer546 has a paper jam,Hardware,2 - High,1,TRUE
Hardware,Resolved,2023-01-24 18:39:22,2023-01-17 17:47:00,Luke Wilson,INC000000524,employee,Australia,Fred Luddy,David Loo,2023-01-24 18:39:22,Printer546 is malfunctioning in Australia,Hardware,2 - High,2,TRUE
Hardware,Resolved,2023-01-23 14:49:24,2023-01-18 23:27:00,Fred Luddy,INC000000525,admin,Australia,Fred Luddy,Bud Richman,2023-01-23 14:49:24,Printer546 has a paper jam,Hardware,2 - High,3,TRUE
Hardware,Closed,2023-01-24 10:21:13,2023-01-19 5:28:00,Howard Johnson,INC000000526,admin,Australia,Beth Anglin,David Loo,2023-01-24 10:21:13,Printer546 is not functioning properly,Hardware,1 - Critical,1,TRUE
Software,Closed,2023-01-25 20:46:14,2023-01-19 17:29:00,Fred Luddy,INC000000527,employee,Canada,Luke Wilson,Bud Richman,2023-01-25 20:46:14,Software update error on desktop,Software,2 - High,1,TRUE
Hardware,Closed,2023-02-04 2:43:53,2023-01-20 5:48:00,Fred Luddy,INC000000528,system,Australia,Beth Anglin,ITIL User,2023-02-04 2:43:53,Printer546 is not responding,Hardware,2 - High,1,TRUE
Network,Resolved,2023-01-26 12:30:48,2023-01-21 12:13:00,Luke Wilson,INC000000529,system,UK,Luke Wilson,David Loo,2023-01-26 12:30:48,Unable to connect to WiFi in UK office,Network,2 - High,1,TRUE
Hardware,Closed,2023-01-29 22:45:30,2023-01-22 3:34:00,Charlie Whitherspoon,INC000000530,employee,Canada,Fred Luddy,Bud Richman,2023-01-29 22:45:30,PC overheating issue reported,Hardware,2 - High,1,TRUE
Hardware,Resolved,2023-02-05 0:09:42,2023-01-23 23:18:00,Howard Johnson,INC000000531,admin,Australia,Howard Johnson,Bud Richman,2023-02-05 0:09:42,Printer546 is not printing documents in Australia,Hardware,2 - High,1,TRUE
Software,Closed,2023-01-28 1:28:10,2023-01-24 15:02:00,Luke Wilson,INC000000532,system,Canada,Howard Johnson,ITIL User,2023-01-28 1:28:10,Software update failed on workstation,Software,2 - High,1,TRUE
Hardware,Resolved,2023-01-28 4:52:52,2023-01-25 2:38:00,Fred Luddy,INC000000533,admin,Australia,Fred Luddy,Bud Richman,2023-01-28 4:52:52,Printer546 in Australia is offline,Hardware,1 - Critical,2,TRUE
Network,Resolved,2023-02-03 19:14:45,2023-01-25 20:52:00,Luke Wilson,INC000000534,employee,United States,Beth Anglin,David Loo,2023-02-03 19:14:45,Can't connect to VPN,Network,2 - High,3,TRUE
Network,Resolved,2023-02-03 8:09:46,2023-01-27 2:22:00,Beth Anglin,INC000000535,admin,UK,Charlie Whitherspoon,Don Goodliffe,2023-02-03 8:09:46,Network outage in the UK,Network,1 - Critical,7,FALSE
Hardware,Resolved,2023-02-11 9:07:59,2023-01-27 3:28:00,Howard Johnson,INC000000536,employee,Australia,Charlie Whitherspoon,Don Goodliffe,2023-02-11 9:07:59,Printer874 is not working,Hardware,3 - Moderate,1,FALSE
Hardware,Closed,2023-01-30 1:44:17,2023-01-27 7:48:00,Luke Wilson,INC000000537,system,Australia,Beth Anglin,ITIL User,2023-01-30 1:44:17,Issue with Printer546 in Australia,Hardware,1 - Critical,1,FALSE
Hardware,Resolved,2023-02-03 19:29:33,2023-01-27 16:44:00,Howard Johnson,INC000000538,system,Australia,Beth Anglin,Bud Richman,2023-02-03 19:29:33,Printer547 is not working properly,Hardware,1 - Critical,1,FALSE
Hardware,Closed,2023-02-04 20:06:34,2023-01-30 17:07:00,Beth Anglin,INC000000539,admin,India,Charlie Whitherspoon,ITIL User,2023-02-04 20:06:34,RAM issue in desktop PC,Hardware,2 - High,1,FALSE
Software,Closed,2023-02-07 9:37:37,2023-01-31 0:30:00,Luke Wilson,INC000000540,employee,India,Howard Johnson,ITIL User,2023-02-07 9:37:37,Application crash on startup,Software,2 - High,7,FALSE
Hardware,Closed,2023-02-09 20:37:54,2023-02-01 19:46:00,Howard Johnson,INC000000541,system,Australia,Luke Wilson,Bud Richman,2023-02-09 20:37:54,Printer789 is not printing in Australia location,Hardware,2 - High,7,FALSE
Network,Closed,2023-02-16 16:49:50,2023-02-02 8:10:00,Beth Anglin,INC000000542,system,UK,Beth Anglin,ITIL User,2023-02-16 16:49:50,Unable to connect to WiFi,Network,2 - High,1,FALSE
Network,Closed,2023-02-13 0:16:27,2023-02-03 2:01:00,Charlie Whitherspoon,INC000000543,system,United States,Charlie Whitherspoon,ITIL User,2023-02-13 0:16:27,Slow network connectivity issue across multiple devices,Network,2 - High,1,FALSE
Hardware,Closed,2023-02-14 4:41:35,2023-02-05 10:25:00,Luke Wilson,INC000000544,employee,UK,Beth Anglin,Don Goodliffe,2023-02-14 4:41:35,Issue with Laptop Lp123,Hardware,2 - High,1,FALSE
Software,Closed,2023-02-18 11:04:04,2023-02-05 15:05:00,Luke Wilson,INC000000545,admin,United States,Fred Luddy,Bud Richman,2023-02-18 11:04:04,Unable to update antivirus software,Software,2 - High,1,FALSE
Hardware,Resolved,2023-02-08 15:38:00,2023-02-07 15:38:00,Fred Luddy,INC000000546,admin,Australia,Charlie Whitherspoon,David Loo,2023-02-08 15:38:00,Issue with Printer546 in Australia,Hardware,1 - Critical,1,FALSE
Database,Resolved,2023-02-13 8:10:20,2023-02-08 5:33:00,Howard Johnson,INC000000547,system,India,Luke Wilson,Bud Richman,2023-02-13 8:10:20,Database server disruption detected,Database,1 - Critical,1,FALSE
Inquiry / Help,Closed,2023-02-17 0:34:26,2023-02-08 14:07:00,Beth Anglin,INC000000548,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-02-17 0:34:26,Printer787 is causing problems,Hardware,1 - Critical,1,FALSE
Hardware,Closed,2023-02-16 22:50:20,2023-02-11 4:10:00,Fred Luddy,INC000000549,admin,Australia,Charlie Whitherspoon,Bud Richman,2023-02-16 22:50:20,Printer546 is not responding,Hardware,1 - Critical,2,FALSE
Hardware,Resolved,2023-02-13 0:56:00,2023-02-12 0:56:00,Howard Johnson,INC000000550,system,UK,Fred Luddy,Bud Richman,2023-02-13 0:56:00,UK Server67 has stopped responding,Hardware,1 - Critical,3,FALSE
Hardware,Resolved,2023-02-13 9:00:00,2023-02-12 9:00:00,Howard Johnson,INC000000551,admin,Australia,Fred Luddy,Bud Richman,2023-02-13 9:00:00,Printer546 is not responding,Hardware,1 - Critical,1,FALSE
Database,Resolved,2023-02-18 18:49:24,2023-02-12 10:41:00,Charlie Whitherspoon,INC000000552,system,United States,Beth Anglin,David Loo,2023-02-18 18:49:24,SQL database connection issue,Database,3 - Moderate,1,FALSE
Inquiry / Help,Closed,2023-02-19 5:46:55,2023-02-14 16:34:00,Fred Luddy,INC000000553,employee,Canada,Fred Luddy,ITIL User,2023-02-19 5:46:55,Need assistance with software installation,Service Desk,3 - Moderate,2,FALSE
Hardware,Resolved,2023-02-19 6:21:12,2023-02-15 1:47:00,Fred Luddy,INC000000554,employee,United States,Fred Luddy,David Loo,2023-02-19 6:21:12,Laptop issue reported,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-02-19 11:12:42,2023-02-16 10:34:00,Luke Wilson,INC000000555,employee,Australia,Howard Johnson,David Loo,2023-02-19 11:12:42,Issue with Printer546 in Australia,Hardware,2 - High,3,FALSE
Hardware,Closed,2023-02-18 6:02:38,2023-02-16 17:07:00,Luke Wilson,INC000000556,system,Australia,Beth Anglin,Don Goodliffe,2023-02-18 6:02:38,Printer546 is not working,Hardware,2 - High,4,FALSE
Network,Closed,2023-02-25 2:41:07,2023-02-16 18:29:00,Howard Johnson,INC000000557,employee,India,Charlie Whitherspoon,Don Goodliffe,2023-02-25 2:41:07,Unable to connect to the VPN,Network,2 - High,5,FALSE
Hardware,Resolved,2023-02-26 7:36:09,2023-02-16 19:04:00,Fred Luddy,INC000000558,system,Australia,Charlie Whitherspoon,David Loo,2023-02-26 7:36:09,Printer546 is not working,Hardware,1 - Critical,6,FALSE
Hardware,Resolved,2023-02-19 1:46:00,2023-02-18 1:46:00,Luke Wilson,INC000000559,employee,Australia,Fred Luddy,ITIL User,2023-02-19 1:46:00,Printer543 is not printing in Australia,Hardware,1 - Critical,6,FALSE
Database,Closed,2023-02-24 12:26:03,2023-02-18 16:04:00,Beth Anglin,INC000000560,admin,Australia,Howard Johnson,David Loo,2023-02-24 12:26:03,Issue with database response time,Database,2 - High,6,FALSE
Inquiry / Help,Resolved,2023-03-05 11:31:07,2023-02-22 12:21:00,Beth Anglin,INC000000561,admin,United States,Luke Wilson,ITIL User,2023-03-05 11:31:07,Request assistance for application updating issues,Software,3 - Moderate,6,FALSE
Hardware,Closed,2023-02-23 22:00:23,2023-02-22 13:49:00,Charlie Whitherspoon,INC000000562,employee,Australia,Howard Johnson,ITIL User,2023-02-23 22:00:23,Printer546 is malfunctioning in Australia,Hardware,2 - High,2,FALSE
Network,Resolved,2023-02-26 16:29:17,2023-02-22 19:23:00,Luke Wilson,INC000000563,employee,India,Beth Anglin,Bud Richman,2023-02-26 16:29:17,Network connectivity issue in India,Network,2 - High,1,FALSE
Hardware,Resolved,2023-02-25 14:32:02,2023-02-23 2:37:00,Beth Anglin,INC000000564,system,Australia,Charlie Whitherspoon,David Loo,2023-02-25 14:32:02,Printer error in Printer368,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-03-01 4:41:51,2023-02-23 5:40:00,Beth Anglin,INC000000565,system,Canada,Beth Anglin,David Loo,2023-03-01 4:41:51,"Issue with desktop PC, unexpected shutdown",Hardware,2 - High,1,FALSE
Database,Closed,2023-03-02 18:17:25,2023-02-25 17:52:00,Fred Luddy,INC000000566,system,India,Luke Wilson,David Loo,2023-03-02 18:17:25,Unable to connect to server database,Database,2 - High,3,FALSE
Hardware,Resolved,2023-03-03 22:24:22,2023-02-25 19:47:00,Charlie Whitherspoon,INC000000567,employee,Australia,Howard Johnson,Don Goodliffe,2023-03-03 22:24:22,Printer546 is not working properly,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-03-11 20:13:53,2023-02-25 21:22:00,Fred Luddy,INC000000568,employee,Australia,Luke Wilson,Don Goodliffe,2023-03-11 20:13:53,Printer problem with Printer546 in Australia,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-02-28 16:37:00,2023-02-27 16:37:00,Charlie Whitherspoon,INC000000569,employee,Australia,Beth Anglin,Don Goodliffe,2023-02-28 16:37:00,Printer546 is not functioning,Hardware,2 - High,3,FALSE
Hardware,Resolved,2023-03-05 4:00:54,2023-02-27 21:40:00,Fred Luddy,INC000000570,admin,Australia,Luke Wilson,Bud Richman,2023-03-05 4:00:54,Printer453 is not responding,Hardware,2 - High,7,FALSE
Hardware,Closed,2023-03-17 12:55:55,2023-02-28 17:42:00,Charlie Whitherspoon,INC000000571,admin,Australia,Fred Luddy,ITIL User,2023-03-17 12:55:55,Printer567 is not functioning properly,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-03-13 16:49:10,2023-03-02 1:29:00,Beth Anglin,INC000000572,employee,Australia,Charlie Whitherspoon,Bud Richman,2023-03-13 16:49:10,Issue with Printer546 in Australia,Hardware,1 - Critical,1,FALSE
Inquiry / Help,Resolved,2023-03-08 5:56:32,2023-03-02 10:56:00,Beth Anglin,INC000000573,admin,Canada,Fred Luddy,Don Goodliffe,2023-03-08 5:56:32,Inquiry about the service in Canada,Service Desk,3 - Moderate,1,FALSE
Hardware,Closed,2023-03-11 13:43:00,2023-03-04 3:00:00,Fred Luddy,INC000000574,system,Australia,Charlie Whitherspoon,Bud Richman,2023-03-11 13:43:00,Printer546 is not working properly,Hardware,1 - Critical,1,FALSE
Hardware,Resolved,2023-03-19 18:35:49,2023-03-07 6:18:00,Howard Johnson,INC000000575,admin,Australia,Charlie Whitherspoon,Bud Richman,2023-03-19 18:35:49,Printer546 is not printing in Australia location. Please assist.,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-03-17 15:33:56,2023-03-08 16:23:00,Howard Johnson,INC000000576,system,India,Beth Anglin,David Loo,2023-03-17 15:33:56,Server rack 34B malfunctioning in Chennai data center,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-03-14 6:30:47,2023-03-09 2:01:00,Luke Wilson,INC000000577,employee,Australia,Fred Luddy,ITIL User,2023-03-14 6:30:47,Printer546 is not working properly,Hardware,1 - Critical,7,FALSE
Hardware,Closed,2023-03-10 9:09:00,2023-03-09 9:09:00,Luke Wilson,INC000000578,employee,Australia,Fred Luddy,ITIL User,2023-03-10 9:09:00,Printer546 in Australia is causing an issue,Hardware,1 - Critical,7,FALSE
Network,Resolved,2023-03-11 9:09:00,2023-03-10 9:09:00,Charlie Whitherspoon,INC000000579,employee,UK,Charlie Whitherspoon,Bud Richman,2023-03-11 9:09:00,Network connection lost in UK,Network,1 - Critical,1,FALSE
Network,Closed,2023-03-13 9:38:16,2023-03-10 14:49:00,Fred Luddy,INC000000580,employee,India,Fred Luddy,ITIL User,2023-03-13 9:38:16,Unable to establish a connection to the local server,Network,2 - High,2,FALSE
Database,Closed,2023-03-17 12:37:48,2023-03-11 6:39:00,Luke Wilson,INC000000581,system,United States,Beth Anglin,Bud Richman,2023-03-17 12:37:48,Unable to connect to Database567,Database,2 - High,1,FALSE
Hardware,Closed,2023-03-16 11:23:46,2023-03-13 2:53:00,Beth Anglin,INC000000582,admin,United States,Howard Johnson,David Loo,2023-03-16 11:23:46,Hard drive failure in laptop HL349,Hardware,2 - High,1,FALSE
Database,Closed,2023-03-26 23:30:22,2023-03-13 7:44:00,Fred Luddy,INC000000583,system,Canada,Charlie Whitherspoon,Bud Richman,2023-03-26 23:30:22,Unable to connect to SQL Database 219,Database,2 - High,1,FALSE
Hardware,Closed,2023-03-14 22:49:23,2023-03-13 10:05:00,Fred Luddy,INC000000584,system,Australia,Luke Wilson,David Loo,2023-03-14 22:49:23,Issue with Printer210,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-03-18 9:32:56,2023-03-13 11:36:00,Charlie Whitherspoon,INC000000585,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-03-18 9:32:56,Issue with Printer546 in Australia,Hardware,2 - High,3,FALSE
Hardware,Resolved,2023-03-23 14:56:55,2023-03-14 0:04:00,Charlie Whitherspoon,INC000000586,admin,Australia,Luke Wilson,David Loo,2023-03-23 14:56:55,Issue with Printer546 in Australia office,Hardware,2 - High,4,FALSE
Hardware,Resolved,2023-03-26 11:10:51,2023-03-17 0:19:00,Charlie Whitherspoon,INC000000587,admin,Australia,Howard Johnson,David Loo,2023-03-26 11:10:51,Printer546 is malfunctioning,Hardware,1 - Critical,5,FALSE
Hardware,Resolved,2023-03-18 7:40:00,2023-03-17 7:40:00,Charlie Whitherspoon,INC000000588,employee,Australia,Fred Luddy,David Loo,2023-03-18 7:40:00,Printer546 has a paper jam,Hardware,2 - High,6,FALSE
Hardware,Resolved,2023-03-22 15:24:17,2023-03-18 1:04:00,Charlie Whitherspoon,INC000000589,employee,Australia,Fred Luddy,David Loo,2023-03-22 15:24:17,Printer546 is malfunctioning in Australia,Hardware,1 - Critical,7,FALSE
Hardware,Resolved,2023-04-04 9:15:27,2023-03-29 1:49:00,Fred Luddy,INC000000602,employee,Australia,Fred Luddy,Don Goodliffe,2023-04-04 9:15:27,Printer546 is down,Hardware,1 - Critical,0,FALSE
Hardware,Resolved,2023-03-21 1:02:45,2023-03-19 12:57:00,Fred Luddy,INC000000591,admin,Australia,Beth Anglin,David Loo,2023-03-21 1:02:45,Printer546 is not working,Hardware,1 - Critical,1,FALSE
Network,Resolved,2023-03-31 7:59:27,2023-03-19 14:53:00,Howard Johnson,INC000000592,employee,Australia,Fred Luddy,Bud Richman,2023-03-31 7:59:27,Network downtime issue in Australia,Network,1 - Critical,2,FALSE
Inquiry / Help,Closed,2023-04-04 19:04:22,2023-03-22 13:51:00,Fred Luddy,INC000000593,admin,United States,Charlie Whitherspoon,ITIL User,2023-04-04 19:04:22,Need help with software installation,Service Desk,2 - High,3,FALSE
Hardware,Resolved,2023-03-29 18:40:48,2023-03-22 14:07:00,Howard Johnson,INC000000594,system,Australia,Howard Johnson,David Loo,2023-03-29 18:40:48,Printer546 is having a paper jam issue,Hardware,1 - Critical,4,FALSE
Hardware,Resolved,2023-04-13 0:44:41,2023-03-22 20:33:00,Luke Wilson,INC000000595,admin,India,Beth Anglin,ITIL User,2023-04-13 0:44:41,Server error on HDD2385,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-03-31 8:03:25,2023-03-23 7:51:00,Charlie Whitherspoon,INC000000596,admin,Australia,Luke Wilson,David Loo,2023-03-31 8:03:25,Printer546 is not working,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-03-30 5:18:21,2023-03-23 16:57:00,Luke Wilson,INC000000597,employee,UK,Charlie Whitherspoon,David Loo,2023-03-30 5:18:21,Issue with workstation PC238,Hardware,3 - Moderate,1,FALSE
Software,Closed,2023-04-08 8:46:45,2023-03-23 22:07:00,Beth Anglin,INC000000598,system,India,Howard Johnson,Bud Richman,2023-04-08 8:46:45,Bug detected in accounting software,Software,2 - High,1,FALSE
Hardware,Closed,2023-03-29 9:27:22,2023-03-26 3:15:00,Luke Wilson,INC000000599,employee,Australia,Charlie Whitherspoon,David Loo,2023-03-29 9:27:22,Printer546 is not working properly,Hardware,2 - High,5,FALSE
Hardware,Resolved,2023-04-08 15:04:33,2023-03-26 20:37:00,Fred Luddy,INC000000600,system,Australia,Beth Anglin,ITIL User,2023-04-08 15:04:33,Printer546 in Australia is not working,Hardware,1 - Critical,6,FALSE
Hardware,Closed,2023-04-08 7:50:02,2023-03-27 23:22:00,Fred Luddy,INC000000601,system,Canada,Charlie Whitherspoon,Bud Richman,2023-04-08 7:50:02,Laptop973 malfunction in Canada location,Hardware,1 - Critical,7,FALSE
Network,Resolved,2023-04-13 15:50:15,2023-04-08 12:59:00,Charlie Whitherspoon,INC000000610,employee,Australia,Howard Johnson,Don Goodliffe,2023-04-13 15:50:15,Network outage reported,Network,1 - Critical,0,FALSE
Hardware,Closed,2023-04-05 5:58:44,2023-03-29 5:22:00,Luke Wilson,INC000000603,admin,India,Fred Luddy,Don Goodliffe,2023-04-05 5:58:44,Server076 overheating issue,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-03-31 22:32:42,2023-03-30 0:58:00,Charlie Whitherspoon,INC000000604,system,Australia,Charlie Whitherspoon,David Loo,2023-03-31 22:32:42,Printer546 is not working properly,Hardware,1 - Critical,2,FALSE
Hardware,Resolved,2023-04-16 0:36:30,2023-04-01 9:01:00,Luke Wilson,INC000000605,employee,Australia,Beth Anglin,David Loo,2023-04-16 0:36:30,Printer issue with Printer546 in Australia,Hardware,3 - Moderate,3,FALSE
Network,Resolved,2023-04-08 23:37:34,2023-04-02 15:37:00,Howard Johnson,INC000000606,system,Australia,Fred Luddy,Bud Richman,2023-04-08 23:37:34,Internet connectivity issue with Australian network,Network,2 - High,4,FALSE
Hardware,Closed,2023-04-13 19:24:58,2023-04-03 23:10:00,Howard Johnson,INC000000607,employee,United States,Fred Luddy,ITIL User,2023-04-13 19:24:58,US Server Unresponsive,Hardware,2 - High,5,FALSE
Hardware,Resolved,2023-04-09 9:12:14,2023-04-04 4:43:00,Charlie Whitherspoon,INC000000608,admin,Australia,Luke Wilson,Don Goodliffe,2023-04-09 9:12:14,Issue with Printer276 in Australia,Hardware,2 - High,6,FALSE
Hardware,Resolved,2023-04-17 20:17:36,2023-04-05 0:45:00,Fred Luddy,INC000000609,admin,Australia,Fred Luddy,Bud Richman,2023-04-17 20:17:36,Printer546 is not working in Australia location,Hardware,2 - High,7,FALSE
Network,Resolved,2023-04-19 16:48:00,2023-04-18 16:48:00,Charlie Whitherspoon,INC000000622,system,UK,Fred Luddy,Don Goodliffe,2023-04-19 16:48:00,Network connection issue in UK,Network,2 - High,0,TRUE
Hardware,Resolved,2023-04-13 2:18:00,2023-04-08 22:13:00,Charlie Whitherspoon,INC000000611,employee,Australia,Luke Wilson,Bud Richman,2023-04-13 2:18:00,Printer546 is malfunctioning in Australia,Hardware,2 - High,1,FALSE
Database,Closed,2023-04-15 4:23:54,2023-04-09 10:28:00,Beth Anglin,INC000000612,employee,India,Fred Luddy,David Loo,2023-04-15 4:23:54,Unable to connect to SQL Database,Database,3 - Moderate,2,FALSE
Hardware,Resolved,2023-04-17 11:40:21,2023-04-09 15:33:00,Beth Anglin,INC000000613,admin,Australia,Fred Luddy,Don Goodliffe,2023-04-17 11:40:21,Printer error on Printer546,Hardware,1 - Critical,3,FALSE
Hardware,Closed,2023-04-24 9:36:06,2023-04-10 12:12:00,Beth Anglin,INC000000614,employee,Australia,Fred Luddy,Bud Richman,2023-04-24 9:36:06,Printer546 is not working,Hardware,2 - High,4,FALSE
Hardware,Resolved,2023-04-13 12:12:51,2023-04-11 8:43:00,Charlie Whitherspoon,INC000000615,employee,Australia,Beth Anglin,Don Goodliffe,2023-04-13 12:12:51,Printer546 is not responding,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-04-22 8:17:00,2023-04-11 11:50:00,Beth Anglin,INC000000616,admin,UK,Luke Wilson,ITIL User,2023-04-22 8:17:00,UK Printer546 malfunctioning,Hardware,2 - High,1,FALSE
Network,Resolved,2023-04-13 9:52:00,2023-04-12 9:52:00,Charlie Whitherspoon,INC000000617,employee,Canada,Beth Anglin,Bud Richman,2023-04-13 9:52:00,Network outage at Canada site,Network,1 - Critical,1,FALSE
Network,Resolved,2023-04-13 12:13:00,2023-04-12 12:13:00,Charlie Whitherspoon,INC000000618,employee,UK,Fred Luddy,ITIL User,2023-04-13 12:13:00,Network failure in region UK,Network,1 - Critical,1,FALSE
Hardware,Closed,2023-04-14 10:00:00,2023-04-13 10:00:00,Howard Johnson,INC000000619,employee,Australia,Luke Wilson,Don Goodliffe,2023-04-14 10:00:00,Printer639 is not working properly,Hardware,1 - Critical,5,FALSE
